Name,Notiz,Produzent,Herkunft,Einheit
Birnel,CH KN,Biofarm,CH,850g
Carobbrotaufstrich,vegan,Orliva,Spanien (Katalonien),200g
Carobbrotaufstrich Eco,,Orliva,Spanien (Katalonien),200g
Carob-Schokolade Garrofina Haselnuss,,Orliva,Spanien (Katalonien),100g
Carob-Schokolade Garrofina Mandel,,Orliva,Spanien (Katalonien),100g
Carob-Schokolade Garrofina natur,,Orliva,Spanien (Katalonien),100g
Dattel-Walnuss-Riegel,,gebana,various,24x40g
"Honig ""Miel de garrigues""",cremig,Les Ruchers du Bessillon,Provence/FR,500g
"Honig ""Züricher Stadthonig""",,Wabe3,Wiedikon,250g
Honig Akazien,"hell, flüssig",Les Ruchers du Bessillon,Provence/FR,500g
Honig Blüten,creming,Les Ruchers du Bessillon,Provence/FR,500g
Honig Lavendel,würzig,Les Ruchers du Bessillon,Provence/FR,500g
Honig Tannen,"dunkel, flüssig",Les Ruchers du Bessillon,Provence/FR,500g
Kakao-Drink Coco Jambo,,DR. Goerg,Phillipinen,500gr
Kokosblütenzucker,,gebana,Indonesien,1kg
Konfitüre Aprikosen,,Biofruits,Wallis,260g
Konfitüre Williams Birne,,Biofruits,Wallis,260g
Marmellata di Arance Moro,,Terra Verde,Italien,280g
Rohrohrzucker,,gebana,Paraguay,1kg
Schokolade Milch,Münzenform,gebana,Togo,2kg
Schokolade Zartbitter,Münzenform,gebana,Togo,2kg
Vollrohrzucker,,gebana,Philippinen,1kg